Hey		O
,		O
dudes		O
.		O
I		O
'		O
m		O
Hilah		O
,		O
and		O
today		O
on		O
Hilah		O
Cooking		O
,		O
we		O
'		O
re		O
making		O
breakfast		Recipe
enchiladas		Recipe
filled		O
with		O
potatoes		Ingredient
and		O
chorizo		Ingredient
,		O
topped		O
with		O
fried		O
eggs		Ingredient
with		O
a		O
homemade		O
chili		Ingredient
sauce		Ingredient
.		O
These		O
are		O
going		O
to		O
go		O
great		O
with		O
all		O
of		O
your		O
breakfast		O
margaritas		O
.		O
Alright		O
.		O
Numero		O
uno		O
.		O
That		O
means		O
number		O
one		O
in		O
Spanish		O
.		O
We		O
'		O
re		O
going		O
to		O
make		O
our		O
chili		Ingredient
sauce		Ingredient
.		O
So		O
,		O
I		O
'		O
ve		O
got		O
here		O
a		Amount
couple		Amount
of		O
dried		O
pasilla		Ingredient
chilies		Ingredient
.		O
They		O
'		O
re		O
pretty		O
sweet		O
and		O
tasty		O
and		O
delicious		O
.		O
I		O
'		O
m		O
just		O
going		O
to		O
break		O
the		O
stems		O
off		O
.		O
I		O
'		O
ve		O
already		O
given		O
them		O
a		O
little		O
rinse		O
,		O
just		O
to		O
get		O
any		O
dust		O
or		O
pesticide		O
residue		O
or		O
anything		O
like		O
that		O
off		O
of		O
them		O
,		O
since		O
they		O
'		O
re		O
not		O
organic		O
.		O
Sorry		O
,		O
Jesus		O
.		O
I		O
'		O
m		O
going		O
to		O
add		O
about		O
a		Amount
cup		Unit
of		O
water		Ingredient
or		O
maybe		O
a		O
little		O
more		O
.		O
All		O
we		O
'		O
re		O
going		O
to		O
do		O
is		O
bring		O
this		O
to		O
a		O
boil		O
.		O
When		O
it		O
boils		O
,		O
I		O
'		O
m		O
going		O
to		O
turn		O
the		O
heat		O
off		O
and		O
just		O
let		O
it		O
sit		O
for		O
about		O
ten		O
minutes		O
to		O
get		O
reconstituted		O
.		O
So		O
,		O
I		O
'		O
m		O
actually		O
going		O
to		O
move		O
this		O
to		O
this		O
back		O
burner		O
while		O
that		O
happens		O
.		O
Do		O
a		O
little		O
magic		O
switcharoo		O
here		O
and		O
work		O
on		O
numero		O
two		O
.		O
This		O
totally		O
looks		O
like		O
a		O
number		O
two		O
here		O
.		O
Alright		O
.		O
What		O
this		O
is		O
is		O
not		O
a		O
turd		O
.		O
It		O
'		O
s		O
some		O
chorizo		Ingredient
sausage		Ingredient
,		O
some		O
fresh		O
Mexican		O
chorizo		Ingredient
sausage		Ingredient
.		O
I		O
'		O
m		O
just		O
going		O
to		O
cook		O
this		O
over		O
sort		O
of		O
a		O
medium		O
-		O
high		O
heat		O
,		O
until		O
it		O
'		O
s		O
cooked		O
through		O
and		O
in		O
really		O
fine		O
crumbles		O
.		O
You		O
could		O
totally		O
leave		O
this		O
out		O
.		O
I		O
'		O
ve		O
made		O
these		O
vegetarian		O
before		O
,		O
and		O
they		O
'		O
re		O
just		O
delicious		O
.		O
But		O
I		O
had		O
some		O
chorizo		Ingredient
,		O
so		O
I		O
'		O
m		O
going		O
to		O
add		O
it		O
.		O
.		O
Once		O
most		O
of		O
the		O
fat		O
has		O
released		O
,		O
you		O
can		O
be		O
pretty		O
sure		O
that		O
it		O
'		O
s		O
almost		O
cooked		O
.		O
So		O
,		O
I		O
'		O
m		O
going		O
to		O
add		O
some		O
diced		O
onion		Ingredient
.		O
We		O
just		O
want		O
to		O
soften		O
this		O
a		O
little		O
bit		O
.		O
I		O
still		O
want		O
to		O
keep		O
some		O
of		O
the		O
crunch		O
integrity		O
of		O
the		O
onion		Ingredient
,		O
but		O
maybe		O
not		O
like		O
fully		O
raw		O
onions		Ingredient
.		O
Although		O
,		O
you		O
totally		O
could		O
.		O
It		O
'		O
s		O
also		O
fine		O
that		O
way		O
.		O
This		O
is		O
a		O
very		O
flexible		O
recipe		O
,		O
as		O
long		O
as		O
you		O
have		O
the		O
chili		Ingredient
sauce		Ingredient
and		O
the		O
potatoes		Ingredient
,		O
and		O
even		O
,		O
you		O
could		O
totally		O
just		O
buy		O
a		Amount
can		Unit
of		O
enchilada		Ingredient
sauce		Ingredient
and		O
make		O
enchiladas		Recipe
and		O
serve		O
them		O
for		O
breakfast		O
with		O
an		Amount
egg		Ingredient
on		O
top		O
.		O
I		O
don		O
'		O
t		O
give		O
two		O
shits		O
.		O
Okay		O
.		O
So		O
,		O
our		O
water		Amount
on		O
the		O
chilies		O
is		O
boiling		O
.		O
That		O
'		O
s		O
great		O
.		O
I		O
'		O
m		O
going		O
to		O
drop		O
in		O
a		Amount
couple		Amount
cloves		Unit
of		O
raw		O
garlic		Ingredient
,		O
just		O
like		O
that		O
.		O
Bloop		O
.		O
Put		O
the		O
lid		O
back		O
on		O
it		O
.		O
Turn		O
it		O
off		O
and		O
just		O
let		O
it		O
sit		O
there		O
for		O
ten		O
minutes		O
to		O
get		O
softened		O
up		O
.		O
Okay		O
.		O
Onions		Ingredient
are		O
getting		O
just		O
barely		O
translucent		O
.		O
Go		O
ahead		O
and		O
turn		O
the		O
heat		O
off		O
.		O
I		O
'		O
ve		O
got		O
two		Amount
red		O
potatoes		Ingredient
here		O
that		O
I		O
boiled		O
a		O
couple		O
days		O
ago		O
,		O
and		O
then		O
peeled		O
and		O
just		O
cut		O
into		O
pretty		O
big		O
cubes		O
.		O
And		O
then		O
,		O
I		O
'		O
m		O
also		O
going		O
to		O
add		O
some		O
baby		Ingredient
spinach		Ingredient
.		O
Tear		O
it		O
up		O
a		O
little		O
bit		O
.		O
Ew		O
.		O
Gross		O
.		O
I		O
want		O
my		O
money		O
back		O
.		O
But		O
like		O
I		O
said		O
,		O
yeah		O
,		O
this		O
is		O
totally		O
still		O
a		O
hearty		O
meal		O
if		O
you		O
leave		O
the		O
chorizo		Ingredient
out		O
.		O
The		O
meat		O
is		O
not		O
integral		O
.		O
I		O
don		O
'		O
t		O
know		O
.		O
Take		O
it		O
out		O
.		O
It		O
'		O
s		O
not		O
necessary		O
for		O
the		O
recipe		O
to		O
work		O
.		O
Just		O
a		O
little		O
extra		O
bonus		O
,		O
because		O
chorizo		Ingredient
is		O
the		O
new		O
bacon		O
,		O
y		O
'		O
all		O
.		O
I		O
just		O
declared		O
that		O
for		O
2014		O
.		O
Pass		O
it		O
on		O
.		O
Just		O
going		O
to		O
mash		O
up		O
those		O
potato		Ingredient
chunks		O
a		O
little		O
bit		O
to		O
help		O
this		O
filling		O
stick		O
together		O
.		O
That		O
'		O
s		O
just		O
going		O
to		O
make		O
it		O
easier		O
to		O
roll		O
up		O
.		O
Okay		O
.		O
Them		O
the		O
last		O
thing		O
I		O
'		O
m		O
going		O
to		O
add		O
to		O
the		O
filling		O
is		O
some		O
crumbled		O
up		O
cotija		Ingredient
cheese		Ingredient
.		O
This		O
is		O
a		O
Mexican		O
cheese		O
.		O
It		O
'		O
s		O
very		O
firm		O
and		O
salty		O
,		O
kind		O
of		O
reminds		O
me		O
of		O
a		O
merman		O
'		O
s		O
dick		O
because		O
it		O
'		O
s		O
firm		O
and		O
salty		O
.		O
Okay		O
.		O
Anyway		O
,		O
I		O
'		O
m		O
just		O
imagining		O
that		O
merman		O
have		O
perpetual		O
boners		O
.		O
But		O
anyway		O
,		O
just		O
a		Amount
little		O
bit		Unit
of		O
this		O
,		O
maybe		O
an		Amount
ounce		Unit
or		O
so		O
.		O
Just		O
add		O
a		O
nice		O
saltiness		O
.		O
So		O
,		O
we		O
'		O
re		O
not		O
adding		O
any		O
other		O
salt		O
to		O
this		O
because		O
between		O
the		O
chorizo		Ingredient
and		O
the		O
cotija		Ingredient
,		O
we		O
'		O
ve		O
got		O
it		O
made		O
.		O
But		O
if		O
you		O
were		O
leaving		O
either		O
one		O
of		O
those		O
out		O
,		O
you		O
probably		O
want		O
to		O
add		O
a		Amount
little		O
bit		Unit
of		O
salt		Ingredient
.		O
Mix		O
that		O
around		O
.		O
And		O
this		O
is		O
not		O
a		O
melting		O
cheese		O
.		O
It		O
stays		O
in		O
chunks		O
,		O
and		O
they		O
just		O
kind		O
of		O
get		O
soft		O
.		O
So		O
,		O
it		O
adds		O
a		O
nice		O
little		O
textural		O
bite		O
in		O
there		O
,		O
a		O
little		O
chewy		O
cheese		O
curd		O
kind		O
of		O
feel		O
.		O
You		O
could		O
use		O
other		O
types		O
of		O
cheese		Ingredient
too		O
.		O
Just		O
going		O
to		O
pull		O
them		O
out		O
by		O
the		O
tips		O
.		O
Pull		O
it		O
out		O
by		O
the		O
tip		O
and		O
let		O
all		O
the		O
seeds		O
drop		O
out		O
.		O
You		O
could		O
leave		O
them		O
in		O
if		O
you		O
wanted		O
a		O
really		O
spicy		O
sauce		O
,		O
but		O
I		O
don		O
'		O
t		O
know		O
.		O
To		O
me		O
,		O
this		O
doesn		O
'		O
t		O
really		O
need		O
to		O
be		O
like		O
super		O
hot		O
.		O
These		O
peppers		Ingredient
have		O
a		O
really		O
nice		O
fruity		O
flavor		O
.		O
And		O
the		O
